gene,chrom,pstart,pend,strand,mean5mC,n_cpg
Arhgef17,NC_086019.1,164700241,164704241,-,0.0960875992063492,201
P2ry6,NC_086019.1,164740689,164744689,-,0.73202614662333,56
P2ry2,NC_086019.1,164777578,164781578,-,0.388167204301076,104
Fchsd2,NC_086019.1,164773916,164777916,+,0.784395172968624,39
Atg16l2,NC_086019.1,165121307,165125307,-,0.4783966641395,74
Stard10,NC_086019.1,165128408,165132408,+,0.761973920653442,50
Arap1,NC_086019.1,165158701,165162701,+,0.442854793585807,111
Pde2a,NC_086019.1,165233623,165237623,+,0.60239371257485,53
Art2b,NC_086019.1,165384280,165388280,-,0.598209902597403,33
Clpb,NC_086019.1,165438705,165442705,+,0.224873129009266,73
Phox2a,NC_086019.1,165588757,165592757,+,0.281850144787645,125
Inppl1,NC_086019.1,165607503,165611503,-,0.0841158124318429,166
LOC103691225,NC_086019.1,165606469,165610469,+,0.104815831663327,168
Folr2,NC_086019.1,165628382,165632382,-,0.845009554140127,47
Folr1,NC_086019.1,165648430,165652430,-,0.778533926380368,34
Anapc15,NC_086019.1,165648478,165652478,+,0.778533926380368,34
Lrtomt,NC_086019.1,165678703,165682703,-,0.868678700043918,48
Lamtor1,NC_086019.1,165682001,165686001,+,0.122348871442591,70
Lrrc51,NC_086019.1,165707837,165711837,-,0.183497201265515,89
Numa1,NC_086019.1,165707893,165711893,+,0.177988380108321,88
Il18bp,NC_086019.1,165785990,165789990,-,0.869097183098592,35
Rnf121,NC_086019.1,165856832,165860832,-,0.834293982808023,50
Xndc1,NC_086019.1,165850276,165854276,+,0.212743216995448,78
Trpc2,NC_086019.1,165869991,165873991,+,0.873640513437625,60
Art5,NC_086019.1,165893306,165897306,-,0.824011150918048,71
Art1,NC_086019.1,165888032,165892032,+,0.76652481636936,64
Chrna10,NC_086019.1,165903348,165907348,-,0.866885389610389,41
Nup98,NC_086019.1,166001366,166005366,-,0.193185905103668,116
Pgap2,NC_086019.1,166001593,166005593,+,0.20495119748724,118
Rhog,NC_086019.1,166044254,166048254,-,0.840001933333333,42
Stim1,NC_086019.1,166065450,166069450,+,0.196651897523121,162
Rrm1,NC_086019.1,166233904,166237904,+,0.240392664604507,71
Or55b4,NC_086019.1,166277322,166281322,-,0.794554467271858,52
Or55b10,NC_086019.1,166295035,166299035,-,0.661393196202532,66
Or52b4,NC_086019.1,166349005,166353005,+,0.595008333333334,32
Trim21,NC_086019.1,166397441,166401441,-,0.48648535309503,31
Or51r1,NC_086019.1,166408629,166412629,+,0.53991858365019,44
Or52p2,NC_086019.1,166421465,166425465,-,0.460328238039673,36
Or52k2,NC_086019.1,166436782,166440782,+,0.487313014084507,35
Or52k1,NC_086019.1,166447318,166451318,+,0.272216760404949,22
Or52m2,NC_086019.1,166458889,166462889,-,0.599308675799087,41
Or52m1,NC_086019.1,166475144,166479144,+,0.510175578947368,34
Or51h1,NC_086019.1,166500255,166504255,+,0.445753783044667,23
Or52i2,NC_086019.1,166515118,166519118,+,0.312725510204082,33
Trim68,NC_086019.1,166537407,166541407,-,0.546732226016765,68
Or51d1,NC_086019.1,166544510,166548510,+,0.491258875,30
Or51e1,NC_086019.1,166552112,166556112,+,0.467479141515761,27
Or51a39,NC_086019.1,166563270,166567270,-,0.484834515890614,29
Or51a25bl1,NC_086019.1,166572167,166576167,-,0.513097580645161,28
Or51a25b,NC_086019.1,166580987,166584987,-,0.45249525,27
Or51a25,NC_086019.1,166590003,166594003,-,0.499016086671044,29
Olr59,NC_086019.1,166637634,166641634,-,0.301621659919028,12
Or51f5,NC_086019.1,166633966,166637966,+,0.320432043650794,24
Or51f23c,NC_086019.1,166641388,166645388,+,0.322629317269076,20
Or51f4,NC_086019.1,166668094,166672094,-,0.487362184115524,25
Or51f1,NC_086019.1,166689529,166693529,-,0.40580809102402,18
Or52r7,NC_086019.1,166695566,166699566,-,0.374298165137615,10
Or51f2,NC_086019.1,166702259,166706259,+,0.384854018547141,23
Or52r1,NC_086019.1,166712091,166716091,-,0.26616626054358,17
Or51s1,NC_086019.1,166726236,166730236,-,0.724248712121212,26
Or51h5,NC_086019.1,166758879,166762879,+,0.482319236209335,25
Or51h1l1,NC_086019.1,166773190,166777190,-,0.232289895470383,18
Or51t1,NC_086019.1,166780305,166784305,+,0.438319883889695,26
Or51a7,NC_086019.1,166803392,166807392,+,0.354521070234114,20
Or51a7b,NC_086019.1,166825122,166829122,+,0.332712846580407,15
Or51g2,NC_086019.1,166832485,166836485,-,0.412042286874154,23
Or51g1,NC_086019.1,166848974,166852974,-,0.717873240223464,39
Or51a41,NC_086019.1,166865300,166869300,-,0.416428858447489,27
Or52r1c,NC_086019.1,166885023,166889023,+,0.435477419354839,18
Or51f1f,NC_086019.1,166889690,166893690,+,0.458906078767123,26
Or51f1g,NC_086019.1,166912445,166916445,+,0.426815545454546,31
Or51l1,NC_086019.1,166926111,166930111,+,0.493937142857143,38
Or51p1,NC_086019.1,166933049,166937049,+,0.382460822342902,24
Or52e2,NC_086019.1,166971920,166975920,-,0.701636655737705,35
Or52j3b,NC_086019.1,166981902,166985902,+,0.510792805755396,33
Or52s1b,NC_086019.1,166999067,167003067,-,0.442326753864447,18
Or52j3,NC_086019.1,167015079,167019079,+,0.621500558659218,18
Or52s1,NC_086019.1,167029752,167033752,+,0.47837625772286,21
Or52e3,NC_086019.1,167036615,167040615,+,0.511561849710983,22
Or52e51,NC_086019.1,167066794,167070794,+,0.634435048010974,30
Or52e19,NC_086019.1,167078772,167082772,+,0.278785665914221,19
Or52ab2,NC_086019.1,167091766,167095766,+,0.534830730337079,36
Or52ab2b,NC_086019.1,167099616,167103616,+,0.582028014981273,27
Or52ab4,NC_086019.1,167135688,167139688,+,0.517242052144659,27
Or52ad1,NC_086019.1,167147154,167151154,-,0.274356666666667,14
Or52s19,NC_086019.1,167153070,167157070,-,0.400236135113904,42
Or52s20,NC_086019.1,167159316,167163316,-,0.517253451043339,37
Or52s6,NC_086019.1,167167595,167171595,-,0.49030114638448,20
Or51l14,NC_086019.1,167177232,167181232,+,0.556919724437999,30
Or52d13,NC_086019.1,167192273,167196273,-,0.213156112852665,9
Or52ae7b,NC_086019.1,167207654,167211654,+,0.522527777777778,17
Or52ae10,NC_086019.1,167234216,167238216,+,0.469205278592375,15
Or52ae7,NC_086019.1,167263245,167267245,+,0.47382761732852,20
Or51af1,NC_086019.1,167275398,167279398,-,0.449861401098901,31
Or51ag1,NC_086019.1,167289264,167293264,-,0.503222867383513,30
Or51aa2,NC_086019.1,167299827,167303827,-,0.37554519650655,19
Or51ab3,NC_086019.1,167311307,167315307,+,0.551948372093023,28
Or51ah3,NC_086019.1,167327216,167331216,+,0.412212282958199,27
Or51ac3,NC_086019.1,167332012,167336012,-,0.509637791286728,16
Or52z12,NC_086019.1,167343560,167347560,+,0.422709779179811,24
Or52z13,NC_086019.1,167368752,167372752,+,0.377129131355932,15
Or52z14,NC_086019.1,167380881,167384881,+,0.408234082397004,14
Or51v14,NC_086019.1,167391263,167395263,-,0.406106727828746,32
Or51v8b,NC_086019.1,167398616,167402616,-,0.397613227091634,27
Or52ae8,NC_086019.1,167413812,167417812,-,0.434626590106007,25
LOC134485158,NC_086019.1,167445491,167449491,+,0.529522752043597,60
Or51b6b,NC_086019.1,167483590,167487590,-,0.290951507208388,16
Or51v8,NC_086019.1,167491513,167495513,-,0.545306648793566,41
Or52ae8b,NC_086019.1,167508102,167512102,-,0.505809714889124,20
Or52a20,NC_086019.1,167518378,167522378,+,0.562704028589994,29
Or52a20l1,NC_086019.1,167532986,167536986,+,0.286702880658436,27
Or52ae9,NC_086019.1,167541778,167545778,-,0.455780673076923,19
Or51l4,NC_086019.1,167557576,167561576,-,0.431171606118547,22
Or52a5b,NC_086019.1,167571740,167575740,-,0.34020837628866,20
Or52a5,NC_086019.1,167593817,167597817,-,0.295309266802444,21
Or52z1,NC_086019.1,167617136,167621136,-,0.317317417417417,20
Hbb,NC_086019.1,167629630,167633630,-,0.270603628117914,19
Hbb,NC_086019.1,167641577,167645577,-,0.547158953053594,29
Hbbl1,NC_086019.1,167648235,167652235,-,0.337432019704433,13
Hbb,NC_086019.1,167654963,167658963,-,0.234605384615385,10
Hbb,NC_086019.1,167661721,167665721,-,0.482304481132075,18
Hbg1,NC_086019.1,167683315,167687315,-,0.46949079401611,18
Hbe2,NC_086019.1,167690802,167694802,-,0.435829946524064,15
Hbe1,NC_086019.1,167870091,167874091,-,0.62997624501992,54
Or51b4b,NC_086019.1,167719472,167723472,-,0.562923951182304,27
Or51b17,NC_086019.1,167738278,167742278,-,0.34391546961326,16
Or51b6,NC_086019.1,167757538,167761538,+,0.318483498349835,18
Or51k2,NC_086019.1,167799032,167803032,+,0.47446990990991,37
Or51k7,NC_086019.1,167811621,167815621,+,0.64133605924018,30
Or51q1d,NC_086019.1,167836348,167840348,+,0.691917171717172,36
LOC134484818,NC_086019.1,167864520,167868520,-,0.56432280390417,56
LOC120099899,NC_086019.1,167857048,167861048,-,0.869865367647058,124
Or51q1,NC_086019.1,167866020,167870020,+,0.472854001839926,27
Or51q1e,NC_086019.1,167892039,167896039,+,0.487861003236246,28
Or51k1,NC_086019.1,167897685,167901685,-,0.587494715909091,44
Or51i1,NC_086019.1,167913411,167917411,-,0.319034311512415,33
Or51i2,NC_086019.1,167923559,167927559,+,0.565446323968918,42
Or51a10,NC_086019.1,167931573,167935573,-,0.392544062806673,26
Or51a42,NC_086019.1,167953380,167957380,-,0.497341145281018,30
Or52d1,NC_086019.1,167988283,167992283,+,0.541756324582339,35
Ubqln5,NC_086019.1,168004126,168008126,-,0.672323259762309,45
Ubqln3,NC_086019.1,168017201,168021201,-,0.60658001776199,36
Ubqlnl,NC_086019.1,168027305,168031305,-,0.498315855704698,35
Olfm5,NC_086019.1,168038274,168042274,-,0.348186303630363,16
Or52h1,NC_086019.1,168055588,168059588,-,0.582396566791511,43
Or52h2,NC_086019.1,168070100,168074100,-,0.53812025,42
Trim6,NC_086019.1,168093619,168097619,+,0.830677025232404,71
Trim34,NC_086019.1,168117043,168121043,+,0.572140253303965,52
Trim5,NC_086019.1,168147263,168151263,-,0.400543114311431,26
Trim30c,NC_086019.1,168198343,168202343,-,0.66192932166302,48
Trim30d,NC_086019.1,168223780,168227780,-,0.519964523281597,33
Or52h9,NC_086019.1,168236035,168240035,+,0.725981049851436,82
Or52h7,NC_086019.1,168245795,168249795,+,0.53378736532811,38
Or52d3,NC_086019.1,168259206,168263206,+,0.359047615708275,32
Or52u1,NC_086019.1,168273858,168277858,+,0.57929671179884,33
Or52ac1,NC_086019.1,168282385,168286385,-,0.379510533910534,23
Or52p1,NC_086019.1,168299668,168303668,+,0.537181538461538,39
Or56b1,NC_086019.1,168320466,168324466,+,0.454376186131387,25
Or52n4,NC_086019.1,168328882,168332882,+,0.599568401486989,36
Or52n20,NC_086019.1,168343628,168347628,+,0.441163071895425,10
Or56b2,NC_086019.1,168353076,168357076,+,0.300946153846154,12
Or56b2b,NC_086019.1,168366859,168370859,+,0.559994352941177,19
Or52n4c,NC_086019.1,168381871,168385871,+,0.603708094435076,37
Usp17l,NC_086019.1,168407349,168411349,-,0.345543711843712,22
Or52n1b,NC_086019.1,168425043,168429043,+,0.586497637130802,24
Or52n4e,NC_086019.1,168453733,168457733,-,0.413731188118812,25
Or56b2k,NC_086019.1,168487763,168491763,-,0.260878782608696,11
Or52n4d,NC_086019.1,168518015,168522015,+,0.636612568306011,25
Or52n1,NC_086019.1,168539054,168543054,-,0.546565817223199,26
Usp17la2,NC_086019.1,168561281,168565281,+,0.399055399061033,16
Usp17lh,NC_086019.1,168568552,168572552,+,0.416259187817259,19
Usp17la,NC_086019.1,168575824,168579824,+,0.447339833159541,19
Usp17l8,NC_086019.1,168583112,168587112,+,0.577312324324324,20
Or52n3,NC_086019.1,168606643,168610643,+,0.413894319206492,19
Or52n2,NC_086019.1,168615341,168619341,-,0.687768065433855,22
Or52n2f,NC_086019.1,168637299,168641299,-,0.381368220338983,6
Or52n2b,NC_086019.1,168659588,168663588,-,0.463234455270151,23
Or52n2e,NC_086019.1,168667386,168671386,-,0.519891349480969,22
Or52e18,NC_086019.1,168717743,168721743,+,0.489855942028986,19
Or52e15,NC_086019.1,168760006,168764006,-,0.340635973282443,21
Or52e8,NC_086019.1,168771246,168775246,-,0.495549936467598,30
Or52e15b,NC_086019.1,168802285,168806285,-,0.307167349260523,16
Or52e15c,NC_086019.1,168812681,168816681,-,0.3648131898971,18
Or52e8b,NC_086019.1,168823745,168827745,-,0.305111476557033,25
Or52e7,NC_086019.1,168832652,168836652,+,0.600187325256291,22
Or52e5,NC_086019.1,168839244,168843244,+,0.489229849137931,20
Or52e4,NC_086019.1,168860647,168864647,+,0.314676055045872,21
Or52e5b,NC_086019.1,168869628,168873628,+,0.263830638297872,10
Or56a3b,NC_086019.1,168886025,168890025,+,0.517921137206428,19
Or56a5,NC_086019.1,168911468,168915468,-,0.324505298013245,12
Olr193,NC_086019.1,168925412,168929412,-,0.527628867403315,14
Or52l1b,NC_086019.1,168954700,168958700,-,0.526281490196078,35
Or52l1,NC_086019.1,168993331,168997331,-,0.454148529411765,34
Or52x1,NC_086019.1,169011919,169015919,-,0.292178395061728,28
Or56b6,NC_086019.1,169029148,169033148,+,0.220043291592129,13
Or56b6c,NC_086019.1,169045515,169049515,+,0.406773954983923,14
Or56b6b,NC_086019.1,169064629,169068629,+,0.405718051831993,26
Or52b1,NC_086019.1,169095216,169099216,-,0.459866753926702,27
Or52b2,NC_086019.1,169106328,169110328,-,0.566600946585531,45
Or52w1,NC_086019.1,169125607,169129607,+,0.85076694411415,49
C1h11orf42,NC_086019.1,169132309,169136309,+,0.753149789029536,12
Cnga4,NC_086019.1,169132332,169136332,+,0.753149789029536,12
Fhip1b,NC_086019.1,169158305,169162305,-,0.114847122580645,108
Cckbr,NC_086019.1,169181578,169185578,+,0.638295244055069,83
Cavin3,NC_086019.1,169237973,169241973,-,0.404845753961189,117
Smpd1,NC_086019.1,169302772,169306772,+,0.408662474437628,71
Apbb1,NC_086019.1,169330372,169334372,-,0.30439273538961,109
Hpx,NC_086019.1,169350155,169354155,-,0.788054347826087,36
Trim3,NC_086019.1,169383430,169387430,-,0.262547364476643,122
Arfip2,NC_086019.1,169390290,169394290,-,0.168448438117833,83
Timm10b,NC_086019.1,169390355,169394355,+,0.170056606724003,84
Dnhd1,NC_086019.1,169400615,169404615,+,0.884006216830932,49
Rrp8,NC_086019.1,169498551,169502551,-,0.118663797325297,120
Ilk,NC_086019.1,169498716,169502716,+,0.119861458725971,120
Taf10,NC_086019.1,169506234,169510234,-,0.293044072105385,123
Tpp1,NC_086019.1,169513939,169517939,-,0.554038863521055,60
Dchs1,NC_086019.1,169548789,169552789,-,0.248169907016061,141
Mrpl17,NC_086019.1,169573699,169577699,-,0.131341920657958,85
Gvinp1,NC_086019.1,169636764,169640764,-,0.44495619266055,21
Gvin1,NC_086019.1,169716522,169720522,-,0.424393650793651,50
Or2ag13,NC_086019.1,169771931,169775931,+,0.56066712749616,18
Or2ag16,NC_086019.1,169828424,169832424,-,0.297189158878505,12
Or2ag19b,NC_086019.1,169869319,169873319,-,0.288542990654206,21
Or2ag16b,NC_086019.1,169887489,169891489,-,0.252979713603819,10
Or2ag18,NC_086019.1,169922941,169926941,-,0.400810579857579,15
Or2ag17,NC_086019.1,169942586,169946586,-,0.307187581699346,13
Or2ag2b,NC_086019.1,169975480,169979480,+,0.299110876132931,8
Or13n4,NC_086019.1,169980769,169984769,-,0.50292667638484,15
Or13n4b,NC_086019.1,170020390,170024390,-,0.373785942492013,14
Or2ag19,NC_086019.1,170042923,170046923,+,0.342782555780933,11
Or2ag20,NC_086019.1,170066404,170070404,+,0.534559500959693,18
Or2ag1,NC_086019.1,170094493,170098493,-,0.269011010215664,16
Or2ag2,NC_086019.1,170106391,170110391,-,0.404401538461538,10
Or2d3,NC_086019.1,170112092,170116092,-,0.346373532796318,21
Olr220,NC_086019.1,170140655,170144655,+,0.473463663663664,21
Or2d3c,NC_086019.1,170167668,170171668,-,0.514191318864774,32
Or2d4,NC_086019.1,170188104,170192104,-,0.287083492822966,10
Or6b9,NC_086019.1,170206792,170210792,-,0.435405943152455,15
Or6b6,NC_086019.1,170223468,170227468,-,0.431201834862385,18
Or6a2,NC_086019.1,170238060,170242060,-,0.548823148148148,25
Or10a5,NC_086019.1,170273374,170277374,+,0.4681761596548,19
Or2d36b,NC_086019.1,170340987,170344987,-,0.28187610738255,16
Or10a2,NC_086019.1,170357819,170361819,+,0.441990717299578,22
Or10a4,NC_086019.1,170363682,170367682,+,0.240570724637681,11
Or2d2b,NC_086019.1,170375403,170379403,-,0.473906488011284,25
Or2d2,NC_086019.1,170390180,170394180,-,0.26616568986569,27
Or2d36,NC_086019.1,170437985,170441985,+,0.524136436781609,34
Nlrp14,NC_086019.1,170470956,170474956,+,0.428575661375661,31
Rbmxl2,NC_086019.1,170526570,170530570,+,0.935774097048525,223
Syt9,NC_086019.1,170685666,170689666,+,0.87410694998291,168
Olfml1,NC_086019.1,170887912,170891912,+,0.46153543956044,37
Ppfibp2,NC_086019.1,170914649,170918649,+,0.876198298105957,84
Cyb5r2,NC_086019.1,171074183,171078183,-,0.694818074074075,49
Cdv3l1,NC_086019.1,171091311,171095311,-,0.393338356164384,30
Ovch2,NC_086019.1,171123699,171127699,-,0.377533333333333,10
Or5p5b,NC_086019.1,171145442,171149442,+,0.79286097750194,37
Or5p50,NC_086019.1,171153379,171157379,-,0.519752098765432,22
Or5p5,NC_086019.1,171170194,171174194,-,0.630432943143813,22
Or5p52,NC_086019.1,171191967,171195967,+,0.278284021543986,13
Or5p53,NC_086019.1,171223321,171227321,+,0.398129156908665,20
Or5p56,NC_086019.1,171251904,171255904,+,0.48810193452381,15
Or5p6,NC_086019.1,171350811,171354811,-,0.254899803921569,11
Or10ab4,NC_086019.1,171337545,171341545,+,0.372601486199575,19
Or5p4,NC_086019.1,171359514,171363514,+,0.588227534418023,20
Or5p6b,NC_086019.1,171378296,171382296,+,0.215865682656827,11
Or5p58,NC_086019.1,171417843,171421843,-,0.519494588744589,10
Or5p59,NC_086019.1,171443631,171447631,+,0.367535506241332,12
Or5p66b,NC_086019.1,171464563,171468563,-,0.504933881578948,12
Or5p60c,NC_086019.1,171490920,171494920,-,0.581938717339667,10
LOC134484821,NC_086019.1,171564175,171568175,-,0.436438487972509,13
Or5p60b,NC_086019.1,171584997,171588997,-,0.447154268292683,14
Or5p60d,NC_086019.1,171650859,171654859,-,0.377853435114504,11
Or5p66,NC_086019.1,171666606,171670606,-,0.568185909090909,12
Or5p1,NC_086019.1,171698367,171702367,+,0.330224299065421,7
Or5p68,NC_086019.1,171715392,171719392,-,0.350378977272727,11
Or5p72,NC_086019.1,171724111,171728111,+,0.499392515337423,16
Or5p73,NC_086019.1,171756159,171760159,+,0.405493902439024,8
Or5p69b,NC_086019.1,171827067,171831067,+,0.482573161290323,16
Or5p78c,NC_086019.1,171851219,171855219,+,0.511542574257426,7
Or5p69,NC_086019.1,171891677,171895677,+,0.422544084507042,17
Or5p78,NC_086019.1,171904386,171908386,+,0.373210714285714,13
Or5p79,NC_086019.1,171910394,171914394,+,0.311476602086438,14
Or5p80,NC_086019.1,171940039,171944039,+,0.390715119760479,14
Or10ab5,NC_086019.1,171960541,171964541,-,0.469995375,17
Or5p81,NC_086019.1,171974917,171978917,+,0.533412082262211,18
Olr271,NC_086019.1,172012840,172016840,-,0.523824761904762,12
Or5p76b,NC_086019.1,172022859,172026859,-,0.463228062360802,12
Or5p76,NC_086019.1,172048694,172052694,-,0.35267358778626,13
Or5p81b,NC_086019.1,172079203,172083203,+,0.583333333333333,12
Or5e1,NC_086019.1,172157177,172161177,+,0.443665563335455,27
Or10a48,NC_086019.1,172227623,172231623,-,0.232334014869888,14
Or10a49,NC_086019.1,172277337,172281337,-,0.230867705382436,19
Or10a3,NC_086019.1,172290719,172294719,-,0.28665,22
Or10a3c,NC_086019.1,172303894,172307894,-,0.386735168961202,17
Nlrp10,NC_086019.1,172363205,172367205,-,0.356235230618253,29
Eif3f,NC_086019.1,172367062,172371062,+,0.145461519168757,75
Tub,NC_086019.1,172384772,172388772,+,0.17207273498833,127
Ric3,NC_086019.1,172519349,172523349,-,0.727250396825397,76
Lmo1,NC_086019.1,172601282,172605282,-,0.256038967838444,117
Stk33,NC_086019.1,172891401,172895401,-,0.284617606123869,76
Trim66,NC_086019.1,172972475,172976475,-,0.093728042465044,97
Rpl27a,NC_086019.1,172969957,172973957,+,0.809788121118012,33
Dennd2b,NC_086019.1,173127623,173131623,-,0.14290775988287,72
Akip1,NC_086019.1,173167520,173171520,+,0.330598056501703,97
C1h11orf16,NC_086019.1,173186958,173190958,-,0.822289301700985,55
Ascl3,NC_086019.1,173192302,173196302,-,0.802480009541985,50
Tmem9b,NC_086019.1,173216674,173220674,-,0.159220729628367,107
Nrip3,NC_086019.1,173247829,173251829,-,0.305243210586882,113
Scube2,NC_086019.1,173339323,173343323,-,0.756981491416309,49
Dennd5a,NC_086019.1,173426973,173430973,-,0.0905258731617647,144
Tmem41b,NC_086019.1,173459760,173463760,-,0.302661431701972,100
Ipo7,NC_086019.1,173495472,173499472,+,0.265118881228455,117
Zfp143,NC_086019.1,173541810,173545810,+,0.0860078205637158,129
Wee1,NC_086019.1,173603609,173607609,+,0.796936224489796,42
Swap70,NC_086019.1,173700338,173704338,+,0.300342430181284,112
Sbf2,NC_086019.1,174152589,174156589,-,0.118484087897527,166
Adm,NC_086019.1,174162178,174166178,+,0.792678401727862,10
Ampd3,NC_086019.1,174317526,174321526,+,0.481388833746898,113
rnf141,NC_086019.1,174389848,174393848,-,0.38372894427463,74
Lyve1,NC_086019.1,174408977,174412977,-,0.720046206070288,62
Irag1,NC_086019.1,174526913,174530913,-,0.793132838589981,55
Ctr9,NC_086019.1,174569952,174573952,+,0.245033186036235,110
Eif4g2,NC_086019.1,174626252,174630252,-,0.108791525423729,174
Ftl1l7,NC_086019.1,174811134,174815134,-,0.743838595890411,68
LOC108349779,NC_086019.1,175006976,175010976,+,0.345904556589907,41
Galnt18,NC_086019.1,175336883,175340883,-,0.403430619111709,115
Usp47,NC_086019.1,175584758,175588758,+,0.178336354728074,120
Dkk3,NC_086019.1,175713867,175717867,-,0.643959498207885,115
Mical2,NC_086019.1,175778441,175782441,+,0.260237513397642,119
Parva,NC_086019.1,175979725,175983725,+,0.194267487289269,95
Tead1,NC_086019.1,176225175,176229175,+,0.105213155190134,241
LOC120099907,NC_086019.1,176323632,176327632,-,0.855877914412199,47
Rassf10,NC_086019.1,176490814,176494814,+,0.248278782452999,204
Bmal1,NC_086019.1,176764222,176768222,+,0.137127781745465,197
Btbd10,NC_086019.1,176921663,176925663,-,0.15379232486743,109
LOC134484822,NC_086019.1,176921151,176925151,+,0.152602930200415,110
Pth,NC_086019.1,176944034,176948034,-,0.768827845884413,20
Far1,NC_086019.1,177076973,177080973,+,0.119121649122807,142
LOC120099910,NC_086019.1,177093315,177097315,-,0.797884147952444,15
LOC102548137,NC_086019.1,177156790,177160790,+,0.772419672131147,26
Spon1,NC_086019.1,177361526,177365526,+,0.899684473820633,108
Rras2,NC_086019.1,177735551,177739551,-,0.125516157480315,170
Rps18l4,NC_086019.1,177819060,177823060,-,0.846330969267139,47
Copb1,NC_086019.1,177874688,177878688,-,0.809116564039409,28
Psma1,NC_086019.1,177885857,177889857,-,0.197101424211597,85
LOC134483775,NC_086019.1,178039488,178043488,-,0.122520666890455,229
Pde3b,NC_086019.1,178039207,178043207,+,0.120541745602165,227
LOC102548890,NC_086019.1,178060386,178064386,-,0.879397738693467,38
Cyp2r1,NC_086019.1,178230191,178234191,-,0.304887296416938,71
Calca,NC_086019.1,178315588,178319588,-,0.609469056114175,90
Calcb,NC_086019.1,178397634,178401634,+,0.639032725109083,60
Insc,NC_086019.1,178425360,178429360,+,0.590225066666667,36
Sox6,NC_086019.1,179767243,179771243,-,0.18039060822898,78
C1h11orf58,NC_086019.1,179767283,179771283,+,0.169700090744102,77
Plekha7,NC_086019.1,179980155,179984155,-,0.211220476858345,168
Rps13,NC_086019.1,180007660,180011660,-,0.162056274738068,101
Pik3c2a,NC_086019.1,180115786,180119786,-,0.127615856353591,107
LOC100911093,NC_086019.1,180155040,180159040,-,0.891264255136986,66
Nucb2,NC_086019.1,180183121,180187121,+,0.308471758011381,87
Ybx1l1,NC_086019.1,180738404,180742404,-,0.375012867647059,13
Xylt1,NC_086019.1,181076222,181080222,+,0.866807038693371,167
Rps15a,NC_086019.1,181859330,181863330,-,0.21801888949374,92
Arl6ip1,NC_086019.1,181872232,181876232,-,0.114350803858521,107
Smg1,NC_086019.1,181975894,181979894,-,0.14645649146451,177
LOC102549940,NC_086019.1,182065022,182069022,-,0.704333333333333,18
Clec19a,NC_086019.1,182110170,182114170,-,0.499207131537242,33
Syt17,NC_086019.1,182193827,182197827,-,0.140064367627785,157
Itpripl2,NC_086019.1,182235256,182239256,-,0.415483853870907,189
Coq7,NC_086019.1,182283959,182287959,-,0.215835351089588,77
Tmc7,NC_086019.1,182338000,182342000,-,0.405031079894644,86
LOC102550534,NC_086019.1,182292810,182296810,+,0.826953040224509,49
Tmc5,NC_086019.1,182347102,182351102,+,0.475705966209081,54
Gde1,NC_086019.1,182464569,182468569,-,0.248545604849821,87
Ccp110,NC_086019.1,182473571,182477571,+,0.350121518531846,80
Vps35l,NC_086019.1,182505576,182509576,+,0.43603202020202,69
Knop1,NC_086019.1,182628610,182632610,-,0.171340754993586,114
Iqck,NC_086019.1,182628678,182632678,+,0.181525247613902,116
Gprc5b,NC_086019.1,182770711,182774711,-,0.09540373347161,143
Gpr139,NC_086019.1,182951942,182955942,-,0.710520487179487,103
Gp2,NC_086019.1,183241954,183245954,-,0.303267285587975,28
Umod,NC_086019.1,183259665,183263665,-,0.426467194570136,25
Pdilt,NC_086019.1,183560825,183564825,-,0.42017353115727,30
Acsm5,NC_086019.1,183300241,183304241,+,0.377489983443709,35
Acsm2,NC_086019.1,183345705,183349705,+,0.307587434554974,15
RGD1559600,NC_086019.1,183416946,183420946,-,0.352309015421115,23
Acsm1,NC_086019.1,183415052,183419052,+,0.186784795829713,28
Acsm4,NC_086019.1,183483259,183487259,+,0.518758375,36
Thumpd1,NC_086019.1,183514282,183518282,-,0.279954966419229,90
Eri2,NC_086019.1,183598134,183602134,-,0.144819234728895,92
Acsm3,NC_086019.1,183562652,183566652,+,0.429119801434087,32
Rexo5,NC_086019.1,183597954,183601954,+,0.139613250086715,91
Dcun1d3,NC_086019.1,183715002,183719002,-,0.129696585365854,100
Lyrm1,NC_086019.1,183713941,183717941,+,0.123636345381526,100
Dnah3,NC_086019.1,183908831,183912831,-,0.714209720605355,39
Ldaf1,NC_086019.1,183913919,183917919,+,0.464280089988751,81
Anks4b,NC_086019.1,183932528,183936528,+,0.743971150278293,24
Zp2,NC_086019.1,183954619,183958619,-,0.62005077092511,35
Crym,NC_086019.1,184004923,184008923,-,0.661382369402985,74
Abca14,NC_086019.1,184006785,184010785,+,0.803127680311891,39
Abca15,NC_086019.1,184116017,184120017,+,0.612175223214286,58
Abca16,NC_086019.1,184224374,184228374,+,0.475987615838248,32
Ankrd62l,NC_086019.1,184503503,184507503,+,0.723431441291041,57
Uqcrc2,NC_086019.1,184597240,184601240,+,0.180141366426475,94
Pdzd9,NC_086019.1,184644553,184648553,-,0.610318926103137,54
Mosmo,NC_086019.1,184646985,184650985,+,0.182702192362093,133
Vwa3a,NC_086019.1,184723106,184727106,+,0.844077685377686,37
Sdr42e2,NC_086019.1,184786773,184790773,+,0.752557864450128,42
LOC102556194,NC_086019.1,184823023,184827023,-,0.237325163070748,127
