gene	chr	start.x	end.x	log2r	state	i.start	i.end	mean5mC	n_cpg	pstart	pend	meth_flag	cn_state	mechanism	human_symbol	usym	chrom	start.y	end.y	strand	role	is_hcc	n_ctypes	ctypes	n_cohorts
Cbfb	chr19	47230000	53370000	-0.0944	neutral	49955133	49955133	0.799249583718779	30	49953133	49957133	typical	neutral	none	CBFB	CBFB	NC_086037.1	49955133	50002661	+	Act	FALSE	1	BRCA	6
Cbl	chr8	47070000	63930000	-0.0933	neutral	53468067	53468067	0.160436865225795	137	53466067	53470067	typical	neutral	none	CBL	CBL	NC_086026.1	53384656	53468067	-	Act	FALSE	2	ALL,AML	2
Ccnd1	chr1	161350000	210610000	-0.1496	neutral	209527986	209527986	0.0566404937945604	217	209525986	209529986	hypo	neutral	promoter_hypo_only	CCND1	CCND1	NC_086019.1	209518288	209527986	-	Act	FALSE	2	MM,UCEC	2
Ccnd2	chr4	161330000	167210000	-0.0699	neutral	161675422	161675422	0.302767444384156	176	161673422	161677422	typical	neutral	none	CCND2	CCND2	NC_086022.1	161653048	161675422	-	Act	FALSE	2	AML,CLL	2
Ccnd3	chr9	16350000	44630000	-0.0758	neutral	20987199	20987199	0.492925270607827	72	20985199	20989199	typical	neutral	none	CCND3	CCND3	NC_086027.1	20891696	20987199	-	Act	FALSE	4	BLY,DLBCL,LY,NHLY	4
Cd79b	chr10	85210000	107290000	-0.3096	neutral	91742312	91742312	0.814408013082584	44	91740312	91744312	typical	neutral	none	CD79B	CD79B	NC_086028.1	91739134	91742312	-	Act	FALSE	2	DLBCL,NHLY	4
Cdh10	chr2	54090000	78870000	0.044	neutral	70355521	70355521	0.546275981941309	55	70353521	70357521	typical	neutral	none	CDH10	CDH10	NC_086020.1	70355521	70577880	+	Act	FALSE	3	LUAD,LUSC,PAAD	4
Cdk4	chr7	64490000	65090000	-0.5385	loss	64771453	64771453	0.204298052464229	117	64769453	64773453	typical	loss	het_loss	CDK4	CDK4	NC_086025.1	64771453	64774891	+	Act	FALSE	1	CM	1
Chd4	chr4	154630000	160570000	-0.2723	neutral	159584623	159584623	0.1309466499861	148	159582623	159586623	typical	neutral	none	CHD4	CHD4	NC_086022.1	159584623	159617867	+	Act	FALSE	5	ALL,BLCA,RCH,UCEC,UCS	6
Ciita	chr10	570000	5810000	-0.1216	neutral	5694393	5694393	0.694774603914259	49	5692393	5696393	typical	neutral	none	CIITA	CIITA	NC_086028.1	5646854	5694393	-	Act	FALSE	2	DLBCL,HNSC	2
Cnot3	chr1	70570000	74670000	0.1058	neutral	74487527	74487527	0.084871959814065	160	74485527	74489527	hypo	neutral	promoter_hypo_only	CNOT3	CNOT3	NC_086019.1	74471284	74487527	-	Act	FALSE	2	CLL,PRAD	3
Col1a1	chr10	80310000	80690000	-0.5946	loss	80380458	80380458	0.401988272425249	97	80378458	80382458	typical	loss	het_loss	COL1A1	COL1A1	NC_086028.1	80380458	80397461	+	Act	FALSE	5	CESC,CM,GBM,MM,SBCC	5
Cpeb3	chr1	242970000	246250000	0.5101	gain	244343765	244343765	0.0854199443746635	159	244341765	244345765	hypo	gain	amp+hypo (activation)	CPEB3	CPEB3	NC_086019.1	244161690	244343765	-	Act	FALSE	1	SBCC	1
Crnkl1	chr3	152730000	156830000	0.0906	neutral	153807973	153807973	0.195903638554217	90	153805973	153809973	typical	neutral	none	CRNKL1	CRNKL1	NC_086021.1	153764718	153807973	-	Act	FALSE	1	CM	1
Csf3r	chr5	139710000	159130000	-0.4289	loss	143583126	143583126	0.839931412429379	82	143581126	143585126	typical	loss	het_loss	CSF3R	CSF3R	NC_086023.1	143583126	143604382	+	Act	FALSE	1	AML	1
Cxcr4	chr13	31770000	53850000	0.3737	neutral	42634288	42634288	0.153740113427345	159	42632288	42636288	typical	neutral	none	CXCR4	CXCR4	NC_086031.1	42630383	42634288	-	Act	FALSE	1	DLBCL	1
Cysltr2	chr15	49990000	57850000	-0.0381	neutral	54638314	54638314	0.74902691309987	35	54636314	54640314	typical	neutral	none	CYSLTR2	CYSLTR2	NC_086033.1	54599043	54638314	-	Act	FALSE	1	UVM	1
Dcaf12l2	chrX	125490000	135290000	-0.0306	neutral	128169829	128169829	0.815790531989688	92	128167829	128171829	typical	neutral	none	DCAF12L2	DCAF12L2	NC_086039.1	128167040	128169829	-	Act	FALSE	2	GBM,PRAD	2
Dcstamp	chr7	67490000	83070000	0.0409	neutral	72692364	72692364	0.794949157303371	49	72690364	72694364	typical	neutral	none	DCSTAMP	DCSTAMP	NC_086025.1	72692364	72706983	+	Act	FALSE	1	ST	1
Egfr	chr14	80590000	109084928	-0.0588	neutral	95378626	95378626	0.346203182011031	145	95376626	95380626	typical	neutral	none	EGFR	EGFR	NC_086032.1	95378626	95551358	+	Act	FALSE	9	BRCA,COREAD,GBM,HGG,LGG,LUAD,MM,NSCLC,PIA	14
Eif3e	chr7	67490000	83070000	0.0409	neutral	76257346	76257346	0.163711776718856	77	76255346	76259346	typical	neutral	none	EIF3E	EIF3E	NC_086025.1	76224567	76257346	-	Act	FALSE	2	CESC,COREAD	2
Elf4	chrX	125490000	135290000	-0.0306	neutral	132508175	132508175	0.503001773369402	206	132506175	132510175	typical	neutral	none	ELF4	ELF4	NC_086039.1	132465290	132508175	-	Act	FALSE	1	AML	1
Epas1	chr6	5810000	28810000	0.03	neutral	13626147	13626147	0.325505202075369	147	13624147	13628147	typical	neutral	none	EPAS1	EPAS1	NC_086024.1	13543252	13626147	-	Act	FALSE	3	BRCA,PCPG,SSCC	3
Eps15	chr5	109110000	130070000	-0.0305	neutral	129274487	129274487	0.147305914762599	133	129272487	129276487	typical	neutral	none	EPS15	EPS15	NC_086023.1	129274487	129374856	+	Act	FALSE	1	PRAD	1
Erbb2	chr10	83590000	85130000	-0.2135	neutral	83907491	83907491	0.217567275978542	142	83905491	83909491	typical	neutral	none	ERBB2	ERBB2	NC_086028.1	83907491	83931365	+	Act	FALSE	10	BLCA,BRCA,CESC,CH,COREAD,ESCA,NSCLC,OV,RPC,ST	20
Erbb3	chr7	1210000	1630000	-0.6033	loss	1600379	1600379	0.247373436635307	140	1598379	1602379	typical	loss	het_loss	ERBB3	ERBB3	NC_086025.1	1579079	1600379	-	Act	FALSE	10	BLCA,BRCA,CESC,CH,COREAD,NB,PRAD,ST,UCEC,UCS	14
Erg	chr11	13370000	58150000	0.1644	neutral	48370472	48370472	0.220550054794521	101	48368472	48372472	typical	neutral	none	ERG	ERG	NC_086029.1	48148149	48370472	-	Act	FALSE	2	OV,PRAD	2
Esr1	chr1	42070000	50130000	-0.1087	neutral	43511685	43511685	0.679424289855073	54	43509685	43513685	typical	neutral	none	ESR1	ESR1	NC_086019.1	43511685	43904454	+	Act	FALSE	5	BRCA,LUSC,OS,SBCC,UCEC	6
Esrra	chr1	210690000	238550000	-0.0429	neutral	213543432	213543432	0.150357494672034	153	213541432	213545432	typical	neutral	none	ESRRA	ESRRA	NC_086019.1	213533309	213543432	-	Act	FALSE	1	ACY	1
Etv5	chr11	89910000	99150000	0.0619	neutral	92113171	92113171	0.10437851718901	203	92111171	92115171	hypo	neutral	promoter_hypo_only	ETV5	ETV5	NC_086029.1	92113171	92170758	+	Act	FALSE	2	AML,BRCA	2
Etv6	chr4	168250000	184390000	-0.2145	neutral	168580405	168580405	0.127247370714701	188	168578405	168582405	typical	neutral	none	ETV6	ETV6	NC_086022.1	168580405	168819817	+	Act	FALSE	3	ALL,DLBCL,NHLY	3
Ewsr1	chr14	80590000	109084928	-0.0588	neutral	84208149	84208149	0.119320371308017	184	84206149	84210149	typical	neutral	none	EWSR1	EWSR1	NC_086032.1	84179413	84208149	-	Act	FALSE	1	EWS	1
Fam135b	chr7	95610000	111810000	0.0859	neutral	105538716	105538716	0.778123877278791	55	105536716	105540716	typical	neutral	none	FAM135B	FAM135B	NC_086025.1	105269831	105538716	-	Act	FALSE	5	ESCA,HNSC,LUSC,PAAD,UCS	6
Fat2	chr10	39950000	40010000	-0.9703	loss	39957027	39957027	0.771513135985199	43	39955027	39959027	typical	loss	het_loss	FAT2	FAT2	NC_086028.1	39864765	39957027	-	Act	FALSE	1	VV	1
Fbln1	chr7	111950000	122570000	-0.1353	neutral	118190347	118190347	0.237780711206896	100	118188347	118192347	typical	neutral	none	FBLN1	FBLN1	NC_086025.1	118190347	118269965	+	Act	FALSE	1	BC	1
Fgd5	chr4	124730000	127810000	-0.0911	neutral	126054201	126054201	0.723222064569196	128	126052201	126056201	typical	neutral	none	FGD5	FGD5	NC_086022.1	126054201	126151698	+	Act	FALSE	1	AML	1
Fgfr1	chr16	73190000	73550000	-0.7647	loss	73249855	73249855	0.211969795275591	210	73247855	73251855	typical	loss	het_loss	FGFR1	FGFR1	NC_086034.1	73194631	73249855	-	Act	FALSE	6	BLCA,MBL,OV,PCPG,PIA,PRAD	8
Fgfr2	chr1	161350000	210610000	-0.1496	neutral	194280914	194280914	0.876124416517056	194	194278914	194282914	hyper	neutral	promoter_hyper_only	FGFR2	FGFR2	NC_086019.1	194175703	194280914	-	Act	FALSE	5	BRCA,CH,LUSC,SG,UCEC	8
Fgfr3	chr14	80590000	109084928	-0.0588	neutral	81227215	81227215	0.107880272108844	226	81225215	81229215	hypo	neutral	promoter_hypo_only	FGFR3	FGFR3	NC_086032.1	81211800	81227215	-	Act	FALSE	5	BLCA,HNSC,LUSC,MESO,MM	12
Fgfr4	chr17	10000	11450000	-0.1793	neutral	9481423	9481423	0.464432651006711	118	9479423	9483423	typical	neutral	none	FGFR4	FGFR4	NC_086035.1	9466686	9481423	-	Act	FALSE	1	GBM	2
Flt3	chr12	9410000	12750000	-0.4577	loss	12660035	12660035	0.388497805247225	130	12658035	12662035	typical	loss	het_loss	FLT3	FLT3	NC_086030.1	12660035	12735584	+	Act	FALSE	2	ALL,AML	7
Foxl2	chr8	105630000	108830000	-0.1616	neutral	108392466	108392466	0.140830498390714	309	108390466	108394466	typical	neutral	none	FOXL2	FOXL2	NC_086026.1	108392466	108395553	+	Act	FALSE	1	OV	1
Foxo1	chr2	135690000	151070000	-0.0268	neutral	138462974	138462974	0.0889170739929207	275	138460974	138464974	hypo	neutral	promoter_hypo_only	FOXO1	FOXO1	NC_086020.1	138462974	138541420	+	Act	FALSE	2	BLY,NHLY	2
Foxp1	chr4	133310000	145210000	-0.103	neutral	133808647	133808647	0.668637935568705	63	133806647	133810647	typical	neutral	none	FOXP1	FOXP1	NC_086022.1	133117346	133808647	-	Act	FALSE	2	AN,PRAD	3
Gata1	chrX	16870000	19990000	-0.1599	neutral	17193291	17193291	0.82852	69	17191291	17195291	typical	neutral	none	GATA1	GATA1	NC_086039.1	17193291	17209462	+	Act	FALSE	1	BRCA	1
Gata2	chr4	115250000	123930000	-0.167	neutral	122211501	122211501	0.36384071146245	135	122209501	122213501	typical	neutral	none	GATA2	GATA2	NC_086022.1	122211501	122225058	+	Act	FALSE	1	AML	4
Gli1	chr7	64490000	65090000	-0.5385	loss	65054888	65054888	0.0741494279176201	120	65052888	65056888	hypo	loss	het_loss	GLI1	GLI1	NC_086025.1	65042237	65054888	-	Act	FALSE	1	LEIS	1
Gna11	chr7	5670000	18170000	-0.1107	neutral	8814285	8814285	0.138409710391823	179	8812285	8816285	typical	neutral	none	GNA11	GNA11	NC_086025.1	8814285	8828628	+	Act	FALSE	2	CM,UVM	3
Gnaq	chr1	210690000	238550000	-0.0429	neutral	222852453	222852453	0.107819542883528	243	222850453	222854453	hypo	neutral	promoter_hypo_only	GNAQ	GNAQ	NC_086019.1	222852453	223098754	+	Act	FALSE	2	CM,UVM	2
Grin2a	chr10	5910000	7270000	-0.2489	neutral	6136458	6136458	0.641578494623656	168	6134458	6138458	typical	neutral	none	GRIN2A	GRIN2A	NC_086028.1	6136458	6560003	+	Act	FALSE	4	BLCA,BRCA,COREAD,ST	4
Gtf2i	chr12	27970000	28050000	-1.0411	loss	28037344	28037344	0.115269572135785	204	28035344	28039344	typical	loss	het_loss	GTF2I	GTF2I	NC_086030.1	28037344	28112677	+	Act	FALSE	2	AN,THYM	2
H3f3a	chr13	87090000	109345143	0.4249	gain	95076695	95076695	0.104833987516891	239	95074695	95078695	hypo	gain	amp+hypo (activation)	H3F3A	H3F3A	NC_086031.1	95065085	95076695	-	Act	FALSE	2	HGG,PIA	3
Hgf	chr4	15050000	21710000	0.0654	neutral	19700467	19700467	0.567382424771042	46	19698467	19702467	typical	neutral	none	HGF	HGF	NC_086022.1	19628902	19700467	-	Act	FALSE	1	BC	1
Hip1	chr12	24510000	27170000	-0.4937	loss	26769868	26769868	0.207065075590284	140	26767868	26771868	typical	loss	het_loss	HIP1	HIP1	NC_086030.1	26769868	26904367	+	Act	FALSE	2	MBL,UCS	2
Hist1h3b	chr17	46390000	50270000	0.0119	neutral	47419196	47419196	0.214239647289353	78	47417196	47421196	typical	neutral	none	HIST1H3B	HIST1H3B	NC_086035.1	47419196	47419668	+	Act	FALSE	3	BLCA,BRCA,ESCA	3
Hoxc13	chr7	135490000	136710000	0.1203	neutral	135937126	135937126	0.401566775599129	164	135935126	135939126	typical	neutral	none	HOXC13	HOXC13	NC_086025.1	135937126	135943962	+	Act	FALSE	1	BRCA	1
Hras	chr1	161350000	210610000	-0.1496	neutral	205729406	205729406	0.121563207698476	184	205727406	205731406	typical	neutral	none	HRAS	HRAS	NC_086019.1	205712625	205729406	-	Act	FALSE	12	BLCA,BRCA,CM,COREAD,HNSC,LUSC,PCPG,PRAD,SSCC,THCA,THYM,VV	20
Hsp90aa1	chr6	134550000	138530000	-0.4283	loss	135529687	135529687	0.191840837004405	170	135527687	135531687	typical	loss	het_loss	HSP90AA1	HSP90AA1	NC_086024.1	135523604	135529687	-	Act	FALSE	2	BRCA,THCA	2
Hsp90ab1	chr9	16350000	44630000	-0.0758	neutral	22930249	22930249	0.102681362148003	170	22928249	22932249	hypo	neutral	promoter_hypo_only	HSP90AB1	HSP90AB1	NC_086027.1	22930249	22935929	+	Act	FALSE	1	CM	1
Idh2	chr1	142970000	145630000	-0.2364	neutral	143467248	143467248	0.147183961485557	118	143465248	143469248	typical	neutral	none	IDH2	IDH2	NC_086019.1	143447925	143467248	-	Act	FALSE	5	AML,BLCA,CH,LGG,OS	8
Jak3	chr16	11210000	20330000	-0.1623	neutral	18418807	18418807	0.393427471775574	88	18416807	18420807	typical	neutral	none	JAK3	JAK3	NC_086034.1	18418807	18432515	+	Act	FALSE	1	ALL	1
Kat6b	chr15	10000	2890000	-0.1335	neutral	2861443	2861443	0.0828798926462695	220	2859443	2863443	hypo	neutral	promoter_hypo_only	KAT6B	KAT6B	NC_086033.1	2688535	2861443	-	Act	FALSE	3	BRCA,MBL,PRAD	3
Kdm5a	chr4	154630000	160570000	-0.2723	neutral	155238124	155238124	0.109578971962617	132	155236124	155240124	hypo	neutral	promoter_hypo_only	KDM5A	KDM5A	NC_086022.1	155238124	155316121	+	Act	FALSE	1	CM	1
Kdr	chr14	30070000	40910000	-0.0713	neutral	32572031	32572031	0.375000406137184	114	32570031	32574031	typical	neutral	none	KDR	KDR	NC_086032.1	32572031	32615204	+	Act	FALSE	7	ANGS,CLL,DLBCL,LUAD,PAIS,SBCC,SSCC	8
Kel	chr4	63010000	71890000	-0.062	neutral	71552297	71552297	0.471442088091354	13	71550297	71554297	typical	neutral	none	KEL	KEL	NC_086022.1	71534882	71552297	-	Act	FALSE	1	LGG	1
Kif5b	chr17	52450000	70730000	-0.0057	neutral	56185386	56185386	0.116720236951649	102	56183386	56187386	typical	neutral	none	KIF5B	KIF5B	NC_086035.1	56185386	56222990	+	Act	FALSE	1	HNSC	1
Kifc1	chr20	2550000	5050000	-0.3659	neutral	5000929	5000929	0.221083743613562	128	4998929	5002929	typical	neutral	none	KIFC1	KIFC1	NC_086038.1	5000929	5018967	+	Act	FALSE	1	UCEC	1
Kit	chr14	30070000	40910000	-0.0713	neutral	32978895	32978895	0.29495056200145	164	32976895	32980895	typical	neutral	none	KIT	KIT	NC_086032.1	32901615	32978895	-	Act	FALSE	6	AML,CM,LGG,MGCT,OS,ST	10
Klf4	chr5	68610000	80590000	-0.0719	neutral	75079182	75079182	0.161432526782416	270	75077182	75081182	typical	neutral	none	KLF4	KLF4	NC_086023.1	75074107	75079182	-	Act	FALSE	3	ALL,BRCA,NSCLC	4
Ldb1	chr1	248250000	257170000	0.3605	neutral	254838931	254838931	0.137996458303937	137	254836931	254840931	typical	neutral	none	LDB1	LDB1	NC_086019.1	254813161	254838931	-	Act	FALSE	2	MBL,PIA	3
Lifr	chr2	54090000	78870000	0.044	neutral	57951787	57951787	0.19834454189718	179	57949787	57953787	typical	neutral	none	LIFR	LIFR	NC_086020.1	57951787	58020357	+	Act	FALSE	1	SCLC	1
Lpp	chr11	89910000	99150000	0.0619	neutral	89933973	89933973	0.862632747395833	43	89931973	89935973	typical	neutral	none	LPP	LPP	NC_086029.1	89292060	89933973	-	Act	FALSE	2	HNSC,UCS	2
Ltb	chr20	2550000	5050000	-0.3659	neutral	3634054	3634054	0.301950253378379	107	3632054	3636054	typical	neutral	none	LTB	LTB	NC_086038.1	3632209	3634054	-	Act	FALSE	1	LY	1
Map2k1	chr8	64010000	78330000	-0.1382	neutral	73650184	73650184	0.160057150092858	127	73648184	73652184	typical	neutral	none	MAP2K1	MAP2K1	NC_086026.1	73578747	73650184	-	Act	FALSE	6	BLCA,CM,COREAD,DLBCL,LUAD,NSCLC	8
Max	chr6	92070000	105070000	-0.0783	neutral	101395333	101395333	0.177027597402597	155	101393333	101397333	typical	neutral	none	MAX	MAX	NC_086024.1	101369989	101395333	-	Act	FALSE	7	BRCA,LGG,MBL,MM,PIA,RCCC,UCEC	8
Mdm2	chr7	29810000	55350000	-0.0011	neutral	55201757	55201757	0.178861770129072	136	55199757	55203757	typical	neutral	none	MDM2	MDM2	NC_086025.1	55176558	55201757	-	Act	FALSE	1	LEIS	1
Mdm4	chr13	31770000	53850000	0.3737	neutral	47068241	47068241	0.845564750957855	76	47066241	47070241	typical	neutral	none	MDM4	MDM4	NC_086031.1	46922236	47068241	-	Act	FALSE	1	BRCA	1
Mecom	chr2	109490000	133750000	-0.018	neutral	114837815	114837815	0.177228407178912	193	114835815	114839815	typical	neutral	none	MECOM	MECOM	NC_086020.1	114837815	115393052	+	Act	FALSE	6	BLCA,CM,DLBCL,PRAD,SBCC,UCEC	7
Med12	chrX	56890000	85810000	-0.0364	neutral	70444615	70444615	0.335704908946952	79	70442615	70446615	typical	neutral	none	MED12	MED12	NC_086039.1	70444615	70467780	+	Act	FALSE	7	CESC,CLL,GBM,LGG,NB,OS,PRAD	11
Met	chr4	31330000	57990000	0.0213	neutral	46756823	46756823	0.244525440103049	142	46754823	46758823	typical	neutral	none	MET	MET	NC_086022.1	46756823	46864041	+	Act	FALSE	3	LGG,RCCC,RPC	3
Mllt1	chr9	910000	2810000	-0.5427	loss	1863091	1863091	0.161526140567201	122	1861091	1865091	typical	loss	het_loss	MLLT1	MLLT1	NC_086027.1	1818204	1863091	-	Act	FALSE	1	WT	1
Mllt3	chr5	90510000	108230000	0.0434	neutral	107561352	107561352	0.0548988385598142	240	107559352	107563352	hypo	neutral	promoter_hypo_only	MLLT3	MLLT3	NC_086023.1	107305008	107561352	-	Act	FALSE	1	CM	1
Mtcp1	chr18	10000	2370000	0.0582	neutral	142416	142416	0.625581688332531	216	140416	144416	typical	neutral	none	MTCP1	MTCP1	NC_086036.1	142416	144482	+	Act	FALSE	1	COREAD	1
Myc	chr7	95110000	95590000	-0.4244	loss	95483105	95483105	0.0698178707224335	208	95481105	95485105	hypo	loss	het_loss	MYC	MYC	NC_086025.1	95483105	95488031	+	Act	FALSE	4	AML,BLY,LY,NHLY	4
Mycn	chr6	37270000	42050000	-0.026	neutral	41452584	41452584	0.17219736549754	184	41450584	41454584	typical	neutral	none	MYCN	MYCN	NC_086024.1	41446683	41452584	-	Act	FALSE	6	GBM,MBL,NB,PIA,SBCC,UCEC	8
Myd88	chr8	127850000	132781218	-0.2112	neutral	127956230	127956230	0.20355955865796	177	127954230	127958230	typical	neutral	none	MYD88	MYD88	NC_086026.1	127952161	127956230	-	Act	FALSE	3	CLL,DLBCL,NHLY	8
Myh11	chr10	570000	5810000	-0.1216	neutral	1250554	1250554	0.896278180889116	65	1248554	1252554	hyper	neutral	promoter_hyper_only	MYH11	MYH11	NC_086028.1	1250554	1345681	+	Act	FALSE	6	AML,BRCA,LGG,NSPH,PRAD,SBCC	7
Myh9	chr7	95610000	111810000	0.0859	neutral	111304963	111304963	0.0562394858909934	167	111302963	111306963	hypo	neutral	promoter_hypo_only	MYH9	MYH9	NC_086025.1	111224291	111304963	-	Act	FALSE	7	BRCA,COREAD,ESCA,HNSC,OV,SBCC,ST	8
Ncoa2	chr5	5610000	26610000	-0.0116	neutral	10618712	10618712	0.0725736616702357	276	10616712	10620712	hypo	neutral	promoter_hypo_only	NCOA2	NCOA2	NC_086023.1	10618712	10852776	+	Act	FALSE	2	LUAD,LUSC	2
Nktr	chr8	127850000	132781218	-0.2112	neutral	130255541	130255541	0.847607759699625	51	130253541	130257541	typical	neutral	none	NKTR	NKTR	NC_086026.1	130255541	130298001	+	Act	FALSE	1	AML	1
Nrg1	chr16	65050000	73170000	-0.0386	neutral	65954084	65954084	0.234919481302775	174	65952084	65956084	typical	neutral	none	NRG1	NRG1	NC_086034.1	65954084	67007484	+	Act	FALSE	1	ST	1
Nrk	chrX	103490000	109490000	-0.0281	neutral	107159154	107159154	0.558484582480937	121	107157154	107161154	typical	neutral	none	NRK	NRK	NC_086039.1	107159154	107256417	+	Act	FALSE	1	LUSC	1
Nsd1	chr17	10000	11450000	-0.1793	neutral	9431528	9431528	0.22756342509832	210	9429528	9433528	typical	neutral	none	NSD1	NSD1	NC_086035.1	9317085	9431528	-	Act	FALSE	7	CESC,ESCA,HNSC,LUSC,ST,UCEC,UCS	10
Ntrk1	chr2	154310000	178710000	-0.0152	neutral	175551664	175551664	0.238975792730085	149	175549664	175553664	typical	neutral	none	NTRK1	NTRK1	NC_086020.1	175534844	175551664	-	Act	FALSE	1	BRCA	1
Ntrk3	chr1	138910000	142470000	-0.0885	neutral	141913575	141913575	0.879560572139304	195	141911575	141915575	hyper	neutral	promoter_hyper_only	NTRK3	NTRK3	NC_086019.1	141526192	141913575	-	Act	FALSE	2	ESCA,ST	2
Numa1	chr1	161350000	210610000	-0.1496	neutral	165709893	165709893	0.177988380108321	88	165707893	165711893	typical	neutral	none	NUMA1	NUMA1	NC_086019.1	165709893	165784848	+	Act	FALSE	1	BRCA	1
Nup214	chr3	35230000	41250000	-0.0107	neutral	35652841	35652841	0.155669034917556	86	35650841	35654841	typical	neutral	none	NUP214	NUP214	NC_086021.1	35652841	35738323	+	Act	FALSE	3	BCNET,MM,RPC	3
Nxf1	chr1	210690000	238550000	-0.0429	neutral	215084563	215084563	0.19629009613235	121	215082563	215086563	typical	neutral	none	NXF1	NXF1	NC_086019.1	215084563	215097756	+	Act	FALSE	1	CLL	2
Pak2	chr11	78050000	83630000	-0.0303	neutral	82212896	82212896	0.08647574990261	104	82210896	82214896	hypo	neutral	promoter_hypo_only	PAK2	PAK2	NC_086029.1	82212896	82273803	+	Act	FALSE	1	THCA	1
Pcbp1	chr4	115250000	123930000	-0.167	neutral	120532107	120532107	0.0561945043103448	225	120530107	120534107	hypo	neutral	promoter_hypo_only	PCBP1	PCBP1	NC_086022.1	120530100	120532107	-	Act	FALSE	2	COREAD,PAAD	4
Pdcd1lg2	chr1	210690000	238550000	-0.0429	neutral	236572497	236572497	0.844124595469256	56	236570497	236574497	typical	neutral	none	PDCD1LG2	PDCD1LG2	NC_086019.1	236572497	236637490	+	Act	FALSE	1	CM	1
Pde4dip	chr2	184570000	191510000	0.4516	gain	188178937	188178937	0.879527746319365	101	188176937	188180937	hyper	gain	amplification	PDE4DIP	PDE4DIP	NC_086020.1	187982002	188178937	-	Act	FALSE	1	THCA	1
Pdgfra	chr14	30070000	40910000	-0.0713	neutral	33408604	33408604	0.347288635514019	163	33406604	33410604	typical	neutral	none	PDGFRA	PDGFRA	NC_086032.1	33360027	33408604	-	Act	FALSE	5	GBM,HGG,LGG,LUSC,PIA	7
Pdgfrb	chr18	56010000	60270000	-0.1195	neutral	56770348	56770348	0.445484929906542	83	56768348	56772348	typical	neutral	none	PDGFRB	PDGFRB	NC_086036.1	56770348	56809228	+	Act	FALSE	2	BRCA,UCS	2
Peg3	chr1	75470000	77750000	-0.0844	neutral	76130965	76130965	0.505140632192727	142	76128965	76132965	typical	neutral	none	PEG3	PEG3	NC_086019.1	76130965	76157774	+	Act	FALSE	1	PAAD	1
Pik3cb	chr8	105630000	108830000	-0.1616	neutral	108579140	108579140	0.169942974928487	183	108577140	108581140	typical	neutral	none	PIK3CB	PIK3CB	NC_086026.1	108474017	108579140	-	Act	FALSE	3	BLCA,GBM,PRAD	5
Plag1	chr5	5610000	26610000	-0.0116	neutral	21754325	21754325	0.090129499014625	193	21752325	21756325	hypo	neutral	promoter_hypo_only	PLAG1	PLAG1	NC_086023.1	21699650	21754325	-	Act	FALSE	1	BRCA	1
Plcg1	chr3	166010000	174050000	-0.093	neutral	169805299	169805299	0.159960341314315	185	169803299	169807299	typical	neutral	none	PLCG1	PLCG1	NC_086021.1	169805299	169836040	+	Act	FALSE	3	ANGS,BC,LGG	4
Pold1	chr1	97890000	109270000	-0.2994	neutral	104178074	104178074	0.410725883694413	121	104176074	104180074	typical	neutral	none	POLD1	POLD1	NC_086019.1	104161984	104178074	-	Act	FALSE	1	BRCA	1
Ppp2r1a	chr1	69050000	70470000	-0.0059	neutral	69213198	69213198	0.0661790196690602	99	69211198	69215198	hypo	neutral	promoter_hypo_only	PPP2R1A	PPP2R1A	NC_086019.1	69213198	69232441	+	Act	FALSE	7	ACY,COREAD,OV,THCA,UCEC,UCS,UVM	9
Ppt2	chr20	2550000	5050000	-0.3659	neutral	4117088	4117088	0.921166473029046	74	4115088	4119088	hyper	neutral	promoter_hyper_only	PPT2	PPT2	NC_086038.1	4117088	4137382	+	Act	FALSE	1	BLCA	1
Prex2	chr5	5610000	26610000	-0.0116	neutral	13036077	13036077	0.355960324296934	106	13034077	13038077	typical	neutral	none	PREX2	PREX2	NC_086023.1	12720683	13036077	-	Act	FALSE	6	BLCA,BRCA,CM,DLBCL,ESCA,PRAD	8
Prkcb	chr1	161350000	210610000	-0.1496	neutral	186263397	186263397	0.841985921926911	149	186261397	186265397	typical	neutral	none	PRKCB	PRKCB	NC_086019.1	186263397	186594743	+	Act	FALSE	5	CM,DLBCL,HNSC,LUSC,ST	5
Prrx1	chr13	72330000	85850000	0.5801	gain	78205379	78205379	0.159158219178082	118	78203379	78207379	typical	gain	amplification	PRRX1	PRRX1	NC_086031.1	78136783	78205379	-	Act	FALSE	1	ST	1
Psip1	chr5	90510000	108230000	0.0434	neutral	102925191	102925191	0.153773875470862	151	102923191	102927191	typical	neutral	none	PSIP1	PSIP1	NC_086023.1	102892929	102925191	-	Act	FALSE	1	BLCA	1
Ptpn11	chr12	37070000	41730000	-0.4441	loss	41026079	41026079	0.246565766715882	144	41024079	41028079	typical	loss	het_loss	PTPN11	PTPN11	NC_086030.1	41026079	41085577	+	Act	FALSE	9	ALL,AML,CLL,COREAD,GBM,LGG,MM,NB,PIA	14
Ptprc	chr13	31770000	53850000	0.3737	neutral	52259810	52259810	0.862922929736512	44	52257810	52261810	typical	neutral	none	PTPRC	PTPRC	NC_086031.1	52147717	52259810	-	Act	FALSE	3	AN,CM,COREAD	3
